Neighborhood Reporting Area,Total Population,non-Hispanic White Percentage,African American Percentage,Hispanic Percentage,Asian Percentage,Other Percentage,Total Housing Units,Occupied Housing Units,Vacant Housing Units,Occupied Housing Units,Density: Persons Per Acre,Density Ranking,ACRES
ALLENDALE,"6,643",83.20%,1.90%,11.00%,1.90%,2.10%,"3,612","3,263",349,64.10%,5.1,60,"1,303.50"
ANDERSON MILL,"28,473",64.70%,3.30%,13.10%,16.30%,2.50%,"11,507","10,904",603,67.30%,5,62,"5,706.40"
AVERY RANCH--LAKELINE,"14,785",58.50%,4.00%,14.10%,20.70%,2.80%,"6,108","5,681",427,60.50%,3.2,74,"4,641.40"
BARTON CREEK MALL,"5,147",79.30%,0.80%,9.20%,8.70%,1.90%,"2,195","2,076",119,63.70%,2.2,84,"2,318.10"
BARTON HILLS,"8,022",78.40%,1.40%,13.60%,4.30%,2.30%,"4,965","4,614",351,31.40%,3.9,70,"2,038.10"
BERGSTROM,179,51.40%,27.40%,21.20%,0.00%,0.00%,2,0,2,na,0,101,"4,744.80"
BLUFF SPRINGS,"23,000",17.60%,8.00%,71.60%,1.10%,1.80%,"7,947","7,362",585,53.60%,2.7,81,"8,431.80"
BOULDIN,"5,510",58.50%,5.30%,32.80%,1.40%,2.10%,"2,949","2,694",255,40.40%,7.1,38,773.3
BRENTWOOD,"7,513",73.20%,2.70%,17.70%,4.00%,2.40%,"4,401","4,127",274,40.30%,7.4,32,"1,013.70"
BRODIE LANE,"10,913",61.90%,4.30%,27.30%,4.00%,2.50%,"4,939","4,770",169,58.40%,5.7,52,"1,920.30"
BULL CREEK,"7,655",84.80%,1.10%,7.00%,5.40%,1.70%,"3,606","3,409",197,76.20%,3.4,73,"2,247.30"
CENTRAL EAST AUSTIN,"4,677",30.70%,24.20%,41.80%,1.40%,1.80%,"2,102","1,874",228,37.50%,7.5,31,624.8
CENTRAL WEST AUSTIN,"10,522",81.20%,1.50%,8.30%,7.10%,1.90%,"4,891","4,490",401,58.90%,5.2,58,"2,025.50"
CHERRY CREEK,"20,143",56.70%,4.90%,33.10%,2.60%,2.60%,"8,842","8,449",393,59.00%,7.1,41,"2,854.40"
CHESTNUT,"1,777",38.70%,26.10%,30.60%,1.80%,2.80%,765,678,87,53.40%,9.8,14,180.5
CIRCLE C SOUTH,"12,802",72.40%,1.70%,12.10%,11.20%,2.60%,"4,121","4,016",105,94.80%,4,69,"3,232.80"
CORONADO HILLS,"3,546",15.10%,14.50%,68.70%,0.70%,1.00%,"1,390","1,283",107,30.20%,10,12,356.3
